level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
147,1,1,SVN,SVR_RBF,,0.07189258009149355,0.07189258009149355,0.005168543072211814,0.9670202228414622,0.07979800986642269,0.08489217651644694,0.007206681633699585,2020,0,0,log transform,0,Slovenia,Europe,0. No Excess Deaths
146,3,3,SVK,POISSON,,0.17255884863766136,0.17255884863766136,0.02977655624315532,0.9697693573251904,0.05479307447523307,0.07090135488621353,0.005027002124700795,2020,0,0,log transform,0,Slovakia,Europe,0. No Excess Deaths
145,3,3,SGP,SVR_RBF,,0.027953832900417197,0.027953832900417197,0.000781416773824447,0.9431982099629705,0.0790904096290049,0.08728369361979449,0.007618443171914153,2020,0,0,log transform,0,Singapore,Asia,0. No Excess Deaths
143,0,0,SYC,SVR_RBF,,0.09999501564076096,0.09999501564076096,0.00999900315299603,0.9902465808318385,0.06432114211517889,0.08258061455562285,0.006819557900384348,2020,0,0,log transform,0,Seychelles,Africa,0. No Excess Deaths
142,7,7,SRB,Bayesian_ARD,,0.09785879634586125,0.09785879634586125,0.009576344022260748,0.9248822820120005,0.04384883577102272,0.06714500212292046,0.004508451310086993,2020,0,0,log transform,0,Serbia,Europe,0. No Excess Deaths
137,1,1,LCA,SVR_RBF,,0.0678682964272479,0.0678682964272479,0.00460610565993679,0.8791802608210886,0.0716073342847385,0.08233995928580952,0.006779868895188768,2020,0,0,log transform,0,Saint Lucia,North America,0. No Excess Deaths
136,1097,1033,RWA,SVR_RBF,,0.04569540695483898,0.04569540695483898,0.002088070216768347,0.8926312514525583,0.09494416064751005,0.19682725237292895,0.03874096727667666,2020,0,0,log transform,0,Rwanda,Africa,0. No Excess Deaths
134,20,20,ROU,SVR_RBF,,0.15518300309607813,0.15518300309607813,0.024081764449917394,0.9922557588371842,0.07406364213720885,0.09246228035206615,0.008549273287904079,2020,0,0,log transform,0,Romania,Europe,0. No Excess Deaths
133,7,5,MDA,SVR_RBF,,0.02929263653281966,0.02929263653281966,0.0008580585550438811,0.982006878018308,0.08644783178583544,0.10802314702243254,0.011669000292630077,2020,0,0,log transform,0,"Moldova, Republic of",Europe,0. No Excess Deaths
131,3,2,QAT,SVR_RBF,,0.2576882080767223,0.2576882080767223,0.06640321258179215,0.8665148356097414,0.07040041325869821,0.08213689667227916,0.006746469794952665,2020,0,0,log transform,0,Qatar,Asia,0. No Excess Deaths
128,7,7,POL,SVR_RBF,,0.4084686465969365,0.4084686465969365,0.166846635252733,0.9934689889272409,0.06990774459730209,0.0772436947659981,0.0059665883811026825,2020,0,0,log transform,0,Poland,Europe,0. No Excess Deaths
127,2981,1935,PHL,Bayesian_ARD,,0.006534528256571193,0.006534528256571193,4.270005953592735e-05,0.9531318490056867,0.04447993273696656,0.0521836513965771,0.0027231334730794836,2020,0,0,log transform,0,Philippines,Asia,0. No Excess Deaths
