mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
7.188475801052877,3.8638785784811116,-0.38458705340592214,14.761538655511675,2077-12-31,601,Western Europe
7.1580848586469425,3.870054995104599,-0.4270835499474064,14.743253267241291,2078-12-31,601,Western Europe
7.126135720437728,3.8764172454114187,-0.47150246961861697,14.723773910494073,2079-12-31,601,Western Europe
7.092915863908486,3.8828791888137006,-0.5173875024864678,14.70321923030344,2080-12-31,601,Western Europe
7.058694339596165,3.8893583715757907,-0.5643079916617371,14.681696670854068,2081-12-31,601,Western Europe
7.023730226998533,3.895776459180066,-0.6118513248133723,14.659311778810439,2082-12-31,601,Western Europe
6.988279431291933,3.902061492103462,-0.6596205586914774,14.636179421275344,2083-12-31,601,Western Europe
6.952573900362057,3.9081491457258037,-0.7072576714714973,14.612405472195611,2084-12-31,601,Western Europe
6.916846113295572,3.913982911875792,-0.7544194300861893,14.588111656677333,2085-12-31,601,Western Europe
6.881304737412351,3.9195156309022288,-0.8008047359978052,14.563414210822508,2086-12-31,601,Western Europe
6.846151280660639,3.9247087366233866,-0.8461364929308957,14.538439054252173,2087-12-31,601,Western Europe
6.811571757728663,3.9295330572758838,-0.8901715105916388,14.513315026048964,2088-12-31,601,Western Europe
6.777735139992816,3.9339681499088757,-0.9327007501562488,14.488171030141881,2089-12-31,601,Western Europe
6.744801579373609,3.9380019865896654,-0.9735404853893197,14.463143644136538,2090-12-31,601,Western Europe
6.71291008348072,3.9416306036864204,-1.0125439401055347,14.438364107066974,2091-12-31,601,Western Europe
6.682191072159138,3.9448570561381304,-1.0495866820303004,14.413968826348576,2092-12-31,601,Western Europe
6.652756523433885,3.9476910592868832,-1.0845757748591813,14.390088821726952,2093-12-31,601,Western Europe
6.62470573580809,3.9501478197484867,-1.1174417245083612,14.366853196124541,2094-12-31,601,Western Europe
6.598124764606204,3.952247384813715,-1.1481377676212938,14.344387296833702,2095-12-31,601,Western Europe
6.573083514287137,3.9540136877867034,-1.1766409081532032,14.322807936727477,2096-12-31,601,Western Europe
6.549641855740175,3.9554736400033814,-1.2029440204640034,14.302227731944352,2097-12-31,601,Western Europe
6.527843599121722,3.9566563922933695,-1.2270604289734655,14.28274762721691,2098-12-31,601,Western Europe
6.507722554750296,3.95759240376504,-1.2490160221184823,14.264461131619074,2099-12-31,601,Western Europe
6.489299469086057,3.9583128051677656,-1.2688510685864758,14.24745000675859,2100-12-31,601,Western Europe
3.9316588316568017,0.25575021661159164,3.4303976180597644,4.432920045253839,2022-12-31,602,Western Europe
3.9778104598047466,0.34882659542709604,3.294122895917914,4.661498023691579,2023-12-31,602,Western Europe
4.037820849096544,0.45197997765154957,3.1519563711662886,4.9236853270268,2024-12-31,602,Western Europe
4.118840157332542,0.5647431133054366,3.0119639947368633,5.225716319928221,2025-12-31,602,Western Europe
4.209924773022733,0.6834592511851884,2.8703692557990497,5.549480290246416,2026-12-31,602,Western Europe
4.3217804494262095,0.8077795527904482,2.7385616185090598,5.904999280343359,2027-12-31,602,Western Europe
4.441006536658913,0.9342832704963495,2.6098449751277744,6.2721680981900505,2028-12-31,602,Western Europe
4.577319478940618,1.062239547614084,2.4953682226628935,6.6592707352183425,2029-12-31,602,Western Europe
4.719864301280724,1.1891259933068739,2.389220181318834,7.050508421242615,2030-12-31,602,Western Europe
4.873129999871206,1.313655228190953,2.298413064514192,7.44784693522822,2031-12-31,602,Western Europe
5.032539307978029,1.4344180745188013,2.221131543147887,7.84394707280817,2032-12-31,602,Western Europe
5.195143329536,1.5497196670784754,2.157748595928785,8.232538063143215,2033-12-31,602,Western Europe
5.36372801871469,1.659111938661042,2.1119283726186207,8.61552766481076,2034-12-31,602,Western Europe
5.528608425051094,1.7608623477955283,2.077381641639216,8.979835208462973,2035-12-31,602,Western Europe
5.6980569340365586,1.85512590818766,2.0620769672015857,9.334036900871531,2036-12-31,602,Western Europe
5.858979624190251,1.9405518460848048,2.0555678957313197,9.662391352649182,2037-12-31,602,Western Europe
6.021144544932105,2.0175243588379197,2.0668694636775182,9.975419626186692,2038-12-31,602,Western Europe
6.172678225869106,2.0853745758651954,2.085419162897832,10.25993728884038,2039-12-31,602,Western Europe
6.3203940758971875,2.144474709269207,2.1173008799725386,10.523487271821836,2040-12-31,602,Western Europe
6.4577540269150795,2.1949182555931186,2.155793296943086,10.759714756887073,2041-12-31,602,Western Europe
6.5854992044218195,2.237013088559261,2.2010341179009574,10.96996429094268,2042-12-31,602,Western Europe
6.70444246160331,2.2714764209197833,2.25243048486859,11.156454438338029,2043-12-31,602,Western Europe
6.8086889827558865,2.2986431386298274,2.3034312177313145,11.31394674778046,2044-12-31,602,Western Europe
6.905585191784624,2.319583892239575,2.3592843038758193,11.451886079693429,2045-12-31,602,Western Europe
6.984772292686987,2.3347856698091802,2.408676468240767,11.560868117133207,2046-12-31,602,Western Europe
7.056869799353652,2.3453936949976377,2.4599826275909624,11.653756971116342,2047-12-31,602,Western Europe
7.111055165051198,2.3520947808384944,2.501034106383117,11.72107622371928,2048-12-31,602,Western Europe
7.156854123528921,2.355917475520529,2.53934072096016,11.774367526097683,2049-12-31,602,Western Europe
