index,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
4679,9,10,PRT,SVR_RBF,,0.4906392073041621,0.4906392073041621,0.24072683174405657,0.9540981179195731,0.08228525694503082,0.10699948096866453,0.011448888927563603,2020,0,0,square root transform,1,Portugal,Europe,1. 0 to <100
1475,1,2,HRV,SVR_RBF,,0.038446042708497385,0.038446042708497385,0.001478098199943605,0.94884352432129,0.08763015451708485,0.09794608968375298,0.009593436484337784,2020,0,0,square root transform,1,Croatia,Europe,1. 0 to <100
4823,4,5,MDA,SVR_RBF,,0.5830052593878374,0.5830052593878374,0.3398951324738796,0.9539305378752629,0.2638884439273309,0.40314093251680433,0.16252261147051858,2020,0,0,square root transform,1,"Moldova, Republic of",Europe,1. 0 to <100
6083,4,5,TTO,SVR_RBF,,0.27664693786862626,0.27664693786862626,0.07653352823208756,0.98825686754354,0.09448171855342087,0.12202736791824698,0.014890678521055212,2020,0,0,square root transform,1,Trinidad and Tobago,North America,1. 0 to <100
5291,1,3,SVK,SVR_RBF,,0.23497733080705752,0.23497733080705752,0.05521434599320934,0.9673857158557012,0.07467381684709685,0.0828157596409878,0.006858450044913863,2020,0,0,square root transform,2,Slovakia,Europe,1. 0 to <100
5651,9,11,SUR,SVR_RBF,,0.30376871544998396,0.30376871544998396,0.09227543248613332,0.9921072747102965,0.10387466457690953,0.11933178989779895,0.014240076080212431,2020,0,0,square root transform,2,Suriname,South America,1. 0 to <100
5759,4,6,CHE,SVR_RBF,,0.18801344406222364,0.18801344406222364,0.0353490551481389,0.8394120833365918,0.06822509129331965,0.08300829211936402,0.006890376560573669,2020,0,0,square root transform,2,Switzerland,Europe,1. 0 to <100
4463,36,38,PAN,SVR_RBF,,0.22835092301143778,0.22835092301143778,0.05214414404017558,0.9467739456497373,0.0913292441060516,0.11749766005076873,0.013805700117406013,2020,0,0,square root transform,2,Panama,North America,1. 0 to <100
2519,16,18,GUY,SVR_RBF,,0.4304276141766463,0.4304276141766463,0.18526793104579992,0.9961256602419164,0.06873041486550756,0.07854124124596085,0.0061687265764562215,2020,0,0,square root transform,2,Guyana,South America,1. 0 to <100
2339,4,6,GRC,SVR_RBF,,0.6250872658130633,0.6250872658130633,0.39073408988165126,0.9522170175045911,0.05381906700456743,0.0637637058570352,0.004065810184622504,2020,0,0,square root transform,2,Greece,Europe,1. 0 to <100
71,0,2,ALB,SVR_RBF,,1.1837394707362188,1.1837394707362188,1.4012391345788633,0.9913866277119661,0.08997113488859261,0.14404233631497573,0.02074819465107658,2020,0,0,square root transform,2,Albania,Europe,1. 0 to <100
755,0,2,BIH,SVR_RBF,,0.8108722592221085,0.8108722592221085,0.6575138207759663,0.9786631750713852,0.1275467044161688,0.2062604078037502,0.042543355827369345,2020,0,0,square root transform,2,Bosnia and Herzegovina,Europe,1. 0 to <100
2915,16,19,ITA,POISSON,,0.1095758708788761,0.1095758708788761,0.012006871478864128,0.9839754367320288,0.17873717914733522,0.2112761236505262,0.04463760042479243,2020,0,0,square root transform,3,Italy,Europe,1. 0 to <100
5975,64,67,TLS,Bayesian_ARD,,0.42960747329097515,0.42960747329097515,0.18456258110745594,0.9735693774649231,0.48228006177921917,0.7154326121429297,0.5118438225176557,2020,0,0,square root transform,3,Timor-Leste,,1. 0 to <100
3635,1,4,MDV,SVR_RBF,,0.8963897526140463,0.8963897526140463,0.8035145885914711,0.9944771606559804,0.06816723591087571,0.08814573644103049,0.00776967085273161,2020,0,0,square root transform,3,Maldives,Asia,1. 0 to <100
6335,64,67,GBR,SVR_RBF,,0.3025710005223132,0.3025710005223132,0.09154921035707367,0.7520476316478236,0.11514423369839186,0.16311583557063422,0.026606775813906178,2020,0,0,square root transform,3,United Kingdom,Europe,1. 0 to <100
1331,49,52,COM,SVR_RBF,,0.1615658423041726,0.1615658423041726,0.026103521399456767,0.9868152967307126,0.09529197156698592,0.11131805242872674,0.012391708796524754,2020,0,0,square root transform,3,Comoros,Africa,1. 0 to <100
1007,1,4,CPV,SVR_RBF,,1.0359366688563658,1.0359366688563658,1.0731647818812238,0.9928231111991048,0.10166844568278141,0.1509626424616957,0.02278971941901777,2020,0,0,square root transform,3,Cabo Verde,Africa,1. 0 to <100
6407,4,7,URY,SVR_RBF,,0.2667362838687741,0.2667362838687741,0.07114824513212326,0.9886140766617811,0.07164427752254252,0.08226233762289528,0.006767092191183212,2020,0,0,square root transform,3,Uruguay,South America,1. 0 to <100
1583,1,4,CZE,SVR_RBF,,0.5203670467914223,0.5203670467914223,0.2707818633864263,0.9776651240015696,0.10529355051431301,0.12829943914259423,0.016460746084304242,2020,0,0,square root transform,3,Czechia,Europe,1. 0 to <100
2879,1,5,ISR,SVR_RBF,,1.243060340338936,1.243060340338936,1.5451990097235513,0.9958935159914861,0.08497913156572745,0.10554154190815904,0.011139017068351692,2020,0,0,square root transform,4,Israel,Asia,1. 0 to <100
4715,4,9,PRI,SVR_RBF,,0.941919659035646,0.941919659035646,0.8872126440778276,0.982690747866633,0.07746401499658467,0.10109957364741776,0.010221123791689648,2020,0,0,square root transform,5,Puerto Rico,North America,1. 0 to <100
611,4,9,BLZ,SVR_RBF,,1.1113168071414328,1.1113168071414328,1.2350250458350285,0.9412119131536637,0.06780875930224378,0.08114091357901246,0.006583847856436767,2020,0,0,square root transform,5,Belize,North America,1. 0 to <100
1403,9,14,CRI,SVR_RBF,,0.23435552347701716,0.23435552347701716,0.05492251138418674,0.9868895564500059,0.09034568312949613,0.10609921492012013,0.011257043406665843,2020,0,0,square root transform,5,Costa Rica,North America,1. 0 to <100
1547,4,9,CYP,SVR_RBF,,0.7896284399036215,0.7896284399036215,0.6235130731046272,0.92453967081677,0.05959429374423773,0.0692998989588325,0.004802475995704393,2020,0,0,square root transform,5,Cyprus,Asia,1. 0 to <100
2123,49,54,FRA,SVR_RBF,,0.35484221391117465,0.35484221391117465,0.12591299677338383,0.9657374685667077,0.20159902150733308,0.2398574228833905,0.05753158331226162,2020,0,0,square root transform,5,France,Europe,1. 0 to <100
2627,9,14,HUN,SVR_RBF,,0.6581738590308168,0.6581738590308168,0.43319282871151754,0.9759713323436745,0.08118675946421432,0.11439462026071713,0.013086129144593674,2020,0,0,square root transform,5,Hungary,Europe,1. 0 to <100
